Route,Date,Rating,Notes,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Rating,Length
Aréte,2019-07-09,5.10a V0+,,1,California > San Diego County > South San Diego County > Santee Boulders > Dog Pile Area > Round Rock,2.3,-1,Solo,,"TR, Boulder",,15
Karmic Relief,2019-06-15,5.10a,,1,California > San Diego County > South San Diego County > Mission Gorge > Middle Earth,2.5,-1,Lead,Onsight,Sport,,50
East face traverse R->L,2019-06-14,V1,,1,California > San Diego County > South San Diego County > Santee Boulders > Dog Pile Area > The Butt Plug,2.7,-1,Solo,,Boulder,,15
Hubble,2019-06-09,5.10b,,1,California > San Bernardino Mountains > Big Bear Lake Area > Big Bear North > Big Bear City Area > Holcomb Valley Pinnacles > Pinnacles South > Lost Orbit Rock > Lost Orbit Rock - East Face > Lost Orbit Rock - East Face Right (Lost Orbit Wall),1.9,-1,TR,,Sport,,50
Bowery Boys,2019-06-09,5.9+,,1,California > San Bernardino Mountains > Big Bear Lake Area > Big Bear North > Big Bear City Area > Holcomb Valley Pinnacles > Pinnacles East > Lower East Side > Bowery Rock,2,-1,Lead,Onsight,Sport,,30
Eye of the Hurricane,2019-06-03,5.12b,First pitch. Did not climb 2nd at 12b. ,1,California > San Diego County > South San Diego County > Corte Madera > El Nino Wall,3,-1,Lead,Onsight,"Trad, Sport",,190
Im Panadilla,2019-06-01,5.10a,,1,California > San Diego County > South San Diego County > Corte Madera > El Nino Wall,2.5,-1,,,Sport,,80
Pollo con Jelados,2019-06-01,5.10a,,1,California > San Diego County > South San Diego County > Corte Madera > El Nino Wall,2.2,-1,TR,,Sport,,80
Close to the Edge,2019-06-01,5.10a/b,,1,California > San Diego County > South San Diego County > Corte Madera > El Nino Wall,3,-1,TR,,Sport,,100
The Hand Crack,2019-05-30,5.7 V0-,,1,California > San Diego County > South San Diego County > Santee Boulders > Dog Pile Area > The Dog Pile,1.9,-1,Solo,,Boulder,,10
Bullet Hole Wall Crack,2019-05-30,5.7 V0,,1,California > San Diego County > South San Diego County > Santee Boulders > Moby Dick Area > Bullet Hole Wall,2.5,-1,Solo,,Boulder,,15
Sloping Disappointment,2019-05-30,V2,,1,California > San Diego County > South San Diego County > Santee Boulders > Moby Dick Area > Lieback Rock,2.5,-1,Solo,,Boulder,,15
Elsa's Crack,2019-05-27,5.7,,1,California > San Diego County > North San Diego County > Mount Woodson > Poison Oak Boulder Area,2.8,-1,Lead,Onsight,"Trad, TR",,20
The Ramp,2019-05-08,5.7,,1,California > San Diego County > South San Diego County > Mission Gorge > Lunch Rock,3,-1,Lead,Onsight,"Trad, TR",,60
Masochist Crack,2019-05-08,5.9 V0-,,1,California > San Diego County > South San Diego County > Santee Boulders > Moby Dick Area > Beehive Boulders,2.5,-1,Solo,,"Trad, Boulder",,10
The Knobs,2019-05-08,V0-,,1,California > San Diego County > South San Diego County > Santee Boulders > Moby Dick Area > Beehive Boulders,2.1,-1,Solo,,Boulder,,10
The Ramp,2019-05-08,5.10d V2,,1,California > San Diego County > South San Diego County > Santee Boulders > Dog Pile Area > 20 Point Boulder,3.1,-1,Solo,,Boulder,,12
American Express,2019-05-08,5.9,Flash,1,California > San Diego County > South San Diego County > Santee Boulders > Moby Dick Area > Bullet Hole Wall,2.7,-1,Solo,,TR,,15
